,name,iata_code,iso_country,latitude,longitude
6888,Nakhchivan Airport,NAJ,AZ,39.18880081176758,45.45840072631836
6889,Gabala International Airport,GBB,AZ,40.808617,47.725389
6890,Zaqatala International Airport,ZTU,AZ,41.557823,46.669464
6891,Yevlakh Airport,YLV,AZ,40.631901,47.141899
6892,Buin Airport,UBI,PG,-6.72916666667,155.683333333
6893,Shirak International Airport,LWN,AM,40.750401,43.859299
6894,Zvartnots International Airport,EVN,AM,40.1473007202,44.3959007263
6895,Batagay Airport,BQJ,RU,67.648002624512,134.69500732422
6896,Sakkyryr Airport,SUK,RU,67.792,130.394
6897,Ust-Kuyga Airport,UKG,RU,70.011002,135.645004
6898,Talakan Airport,TLK,RU,59.876389,111.044444
6899,Aldan Airport,ADH,RU,58.60279846191406,125.40899658203124
6900,Yakutsk Airport,YKS,RU,62.093299865722656,129.77099609375
6901,Chulman Airport,NER,RU,56.913898468018,124.91400146484
6902,Moma Airport,MQJ,RU,66.450861,143.261551
6903,Magan Airport,GYG,RU,62.103484,129.545288
6904,Olyokminsk Airport,OLZ,RU,60.397499,120.471001
6905,Ust-Nera Airport,USR,RU,64.550003051758,143.11500549316
6906,Ust-Maya Airport,UMS,RU,60.356998443604,134.43499755859
6907,Verkhnevilyuisk Airport,VHV,RU,63.458057403564,120.26916503906
6908,Nyurba Airport,NYR,RU,63.294998,118.336998
6909,Suntar Airport,SUY,RU,62.185001373291,117.63500213623
6910,Vilyuisk Airport,VYI,RU,63.75666809082,121.69333648682
6911,Lensk Airport,ULK,RU,60.7206001282,114.825996399
6912,Olenyok Airport,ONK,RU,68.514999,112.480003
6913,Polyarny Airport,PYJ,RU,66.4003982544,112.029998779
6914,Mirny Airport,MJZ,RU,62.534698486328125,114.03900146484376
6915,Saskylakh Airport,SYS,RU,71.927902,114.080002
6916,Belaya Gora Airport,BGN,RU,68.556227,146.22784
6917,Srednekolymsk Airport,SEK,RU,67.4805,153.7364
6918,Chokurdakh Airport,CKH,RU,70.62310028076172,147.90199279785156
6919,Cherskiy Airport,CYX,RU,68.7406005859375,161.33799743652344
6920,Tiksi Airport,IKS,RU,71.697700500488,128.90299987793
6921,Zyryanka Airport,ZKP,RU,65.7485,150.8889
6922,Savannah Airstrip,KHX,UG,-0.7165,29.6997
6923,Moyo Airport,OYG,UG,3.6444001197815,31.762762069702
